id,question_text,option_a,option_b,option_c,option_d,correct_option,topic,difficulty,explanation,image_reference
91,Which cranial nerve lesion typically causes difficulty shrugging the shoulder and turning the head against resistance?,Accessory nerve,Hypoglossal nerve,Vagus nerve,Glossopharyngeal nerve,a,Cranial nerves,1,The spinal accessory nerve innervates the sternocleidomastoid and trapezius muscles. Lesions produce weakness in head rotation away from the lesion side and difficulty elevating the shoulder on the affected side.,
92,Which brainstem lesion is classically associated with locked in syndrome?,Bilateral ventral pontine lesion,Bilateral medial medullary lesion,Dorsal midbrain lesion,Unilateral lateral medullary lesion,a,Brainstem,3,"Locked in syndrome usually results from a ventral pontine lesion, often due to basilar artery thrombosis, that damages corticospinal and corticobulbar tracts while sparing the reticular activating system and vertical eye movements. Patients are awake but quadriplegic and mute.",
93,A lesion of the subthalamic nucleus on the right will most likely lead to:,Right sided spasticity,Left sided hemiballismus,Bilateral resting tremor,Rigidity without abnormal movements,b,Basal ganglia,3,The subthalamic nucleus is part of the indirect basal ganglia pathway that suppresses movement. A unilateral lesion reduces inhibition of thalamocortical neurons and classically produces contralateral hemiballismus with violent flinging limb movements.,
94,Which part of the internal capsule carries most corticospinal fibers to the body?,Genu,Anterior limb,Posterior limb,Retrolenticular part,c,White matter,2,The posterior limb of the internal capsule contains corticospinal motor fibers and many sensory fibers between the thalamus and cortex. The genu mainly carries corticobulbar fibers to cranial nerve nuclei.,
95,Which structure separates the frontal and parietal lobes from the temporal lobe?,Central sulcus,Lateral sulcus or Sylvian fissure,Parieto occipital sulcus,Calcarine sulcus,b,Cortex,1,"The lateral sulcus, also called the Sylvian fissure, separates the frontal and parietal lobes superiorly from the temporal lobe inferiorly. The central sulcus instead separates the frontal and parietal lobes.",
96,Damage to the arcuate fasciculus in the dominant hemisphere typically results in:,Broca aphasia,Wernicke aphasia,Conduction aphasia,Global aphasia,c,Cortex,2,Lesions of the arcuate fasciculus disconnect Broca and Wernicke areas and produce conduction aphasia. Patients understand speech and are fluent but have marked difficulty with repetition and may make phonemic paraphasic errors.,
97,Which cranial nerve is most likely affected in a patient with tongue deviation to the right on protrusion?,Left hypoglossal nerve,Right hypoglossal nerve,Right glossopharyngeal nerve,Left vagus nerve,b,Cranial nerves,2,A lower motor neuron lesion of the hypoglossal nerve causes the tongue to deviate toward the side of the lesion due to unopposed action of the contralateral genioglossus. Deviation to the right on protrusion suggests a right hypoglossal nerve lesion.,
98,Which area of cortex is primarily responsible for motor planning and initiating complex movements rather than simple execution?,Primary motor cortex,Supplementary motor area,Primary somatosensory cortex,Primary visual cortex,b,Cortex,2,"The supplementary motor area, located on the medial surface of the frontal lobe, is involved in planning and coordinating internally generated complex movements. The primary motor cortex is more directly responsible for execution of voluntary movement.",
99,A unilateral lesion of the right spinothalamic tract at T8 will cause loss of pain and temperature:,On the right side at T8 only,On the left side beginning a few segments below T8,On the right side below T8,Bilaterally below T8,b,Spinal tracts,3,"Spinothalamic fibers cross within one or two segments of entry in the anterior white commissure and then ascend contralaterally. A right spinothalamic tract lesion at T8 causes contralateral, left sided loss of pain and temperature beginning a few segments below the lesion.",
100,Which structure is most closely associated with motivation and reward related behavior in the limbic system?,Nucleus accumbens,Substantia nigra pars reticulata,Red nucleus,Dentate gyrus,a,Limbic system,2,"The nucleus accumbens, receiving dopaminergic input from the ventral tegmental area, is a key component of the brain reward circuitry involved in motivation and reinforcement. It is implicated in addiction and goal directed behaviors.",
101,The red nucleus is primarily associated with which function?,Pain perception,Motor coordination via rubrospinal pathway,Visual reflexes,Autonomic control,b,Brainstem,2,The red nucleus in the midbrain influences limb flexor tone and motor coordination through the rubrospinal tract.,
102,The cerebellar flocculus is especially involved in:,Taste processing,Vestibulo-ocular reflex,Pain modulation,Temperature regulation,b,Cerebellum,2,The flocculus helps stabilize gaze by coordinating eye movements with vestibular input.,
103,The pineal gland primarily secretes:,Dopamine,Serotonin,Melatonin,Oxytocin,c,Endocrine neuroanatomy,1,Melatonin regulates circadian rhythm and sleep-wake cycles under hypothalamic control.,
104,Damage to the arcuate nucleus of the hypothalamus may impair regulation of:,Body temperature,Hunger and satiety,Breathing rhythm,Hormone storage in posterior pituitary,b,Hypothalamus,2,The arcuate nucleus integrates appetite-related hormonal signals affecting feeding behavior.,
105,The spinocerebellar tracts primarily carry:,Conscious proprioception,Unconscious proprioception,Pain and temperature,Motor output signals,b,Spinal tracts,2,Spinocerebellar pathways relay proprioceptive input for coordination without conscious perception.,
106,A unilateral lesion in the inferior olive disrupts which function most strongly?,Emotional processing,Procedural motor learning,Vision,Hearing,b,Brainstem cerebellum,3,Inferior olive damage affects climbing fiber input impairing motor learning.,
107,Which nerve provides parasympathetic supply to the lacrimal gland?,CN III,CN V,CN VII,CN IX,c,Cranial nerves,1,Facial nerve parasympathetic fibers innervate the lacrimal gland via the pterygopalatine ganglion.,
108,The ventral horn of the spinal cord contains:,Sensory relay neurons,Preganglionic sympathetic neurons,Lower motor neurons,Commissural interneurons only,c,Spinal cord,1,Lower motor neurons directly innervate skeletal muscle.,
109,Lesion of the posterior limb of internal capsule typically results in:,Isolated language impairment,Dense contralateral motor and sensory deficits,Ipsilateral facial numbness,Isolated visual loss,b,White matter,3,Posterior limb lesions cause dense contralateral deficits due to corticospinal and sensory fiber involvement.,
110,The calcarine sulcus is located in which lobe?,Frontal,Parietal,Occipital,Temporal,c,Cortex,1,The calcarine sulcus houses the primary visual cortex.,
111,Which nucleus regulates circadian rhythm?,Arcuate nucleus,Suprachiasmatic nucleus,Red nucleus,Subthalamic nucleus,b,Hypothalamus,1,The suprachiasmatic nucleus receives retinal input and governs sleep-wake cycles.,
112,Which structure processes olfactory signals before reaching cortex?,Amygdala only,Hippocampus only,Olfactory bulb and tract,Thalamus exclusively,c,Sensory pathways,2,Olfactory information is processed in the bulb and tract before reaching cortex and bypasses the thalamus initially.,
113,A lesion in the left MCA superior division most likely causes:,Fluent aphasia,Global aphasia,Broca aphasia,Anosmia,c,Vascular localization,3,Superior division MCA infarcts affect Broca area causing nonfluent aphasia with preserved comprehension.,
114,Which cranial nerve lesion causes uvula deviation away from the lesion?,CN V,CN IX/X complex,CN VII,CN XII,b,Cranial nerves,2,Vagus nerve weakness causes the uvula to be pulled toward the intact side.,
115,Which basal ganglia structure is targeted in deep brain stimulation for Parkinson disease?,Putamen,Caudate nucleus,Subthalamic nucleus,Hippocampus,c,Basal ganglia,3,Stimulation of the subthalamic nucleus improves motor symptoms by modulating the indirect pathway.,
116,The perforating arteries implicated in lacunar strokes are:,Choroidal arteries,Lenticulostriate arteries,Radicular arteries,Labyrinthine arteries,b,Vascular anatomy,2,Lenticulostriate arteries supply deep structures and are prone to hypertensive damage.,
117,The genu of the internal capsule mainly carries:,Visual fibers,Corticobulbar fibers,Corticospinal fibers,Spinothalamic fibers,b,White matter,2,Corticobulbar fibers in the genu project to cranial nerve motor nuclei.,
118,Damage to the ventromedial hypothalamus is associated with:,Anorexia,Hyperphagia,Insomnia,Hypothermia,b,Hypothalamus,2,The ventromedial nucleus acts as the satiety center and lesions cause overeating.,
119,The medial longitudinal fasciculus connects nuclei controlling:,Smell,Swallowing,Eye movements,Limb coordination,c,Brainstem pathways,2,The MLF coordinates conjugate gaze by linking ocular motor nuclei.,
120,The corticospinal tract decussates at which level?,Midbrain,Pons,Medullary pyramids,Cervical spinal cord,c,Motor pathways,1,Most corticospinal fibers cross in the pyramids of the medulla.,
121,A lesion involving Meyer's loop produces:,Superior quadrantanopia,Inferior quadrantanopia,Monocular blindness,Tunnel vision,a,Visual pathways,2,Meyer loop lesions affect inferior retinal fibers causing contralateral superior quadrantanopia.,
122,The anterior commissure connects:,Frontal lobes,Temporal lobes and olfactory pathways,Parietal lobes,Occipital lobes,b,White matter,2,The anterior commissure connects temporal lobes including olfactory regions.,
123,Which structure is critical for conditioned emotional memory?,Hippocampus,Amygdala,Putamen,Pineal gland,b,Limbic system,2,The amygdala is essential for fear conditioning and emotional learning.,
124,The posterior horn of the spinal cord primarily contains:,Motor neurons,Sensory relay neurons,Autonomic neurons,Purkinje cells,b,Spinal cord,1,The dorsal horn processes incoming sensory information.,
125,Which artery supplies the medial medulla?,PICA,SCA,Anterior spinal artery,MCA,c,Brainstem vascular,3,Anterior spinal artery infarcts cause medial medullary syndrome.,
126,Which artery supplies the lateral temporal and parietal cortex?,PCA,MCA,ACA,Vertebral artery,b,Cerebral blood supply,2,The MCA supplies most of the lateral cerebral hemispheres.,
127,A 55-year-old with expressive aphasia and arm weakness likely has a lesion in:,Right MCA,Left MCA superior division,Right PCA,Left ACA,b,Vascular localization,3,Left MCA superior division strokes affect Broca area and motor cortex.,
128,Which cranial nerve exits at the pontomedullary junction?,CN V,CN VI,CN VII,CN IV,c,Cranial nerves,1,CN VII exits at the pontomedullary junction with CN VIII.,
129,The ventral posterior lateral nucleus relays sensation from the:,Face,Body,Visual system,Auditory system,b,Thalamus,1,VPL relays somatic sensation from the body.,
130,Which tract decussates within 1–2 spinal segments?,Dorsal column,Spinothalamic,Corticospinal,Spinocerebellar,b,Spinal pathways,1,Spinothalamic fibers cross near their entry level.,
131,Intention tremor and dysmetria indicate a lesion in the:,Basal ganglia,Hippocampus,Cerebellar hemisphere,Frontal cortex,c,Cerebellum,2,Lateral cerebellar lesions impair coordination of planned movement.,
132,Which nucleus controls circadian rhythm?,Arcuate,Suprachiasmatic,Red,Subthalamic,b,Hypothalamus,1,The suprachiasmatic nucleus acts as the biological clock.,
133,CSF is found in which meningeal space?,Epidural,Subarachnoid,Subdural,Intracerebral,b,Meninges,1,CSF circulates in the subarachnoid space.,
134,Which structure connects hippocampus to mammillary bodies?,Internal capsule,Fornix,Cingulum,SLF,b,Limbic system,2,The fornix is the major efferent pathway of the hippocampus.,
135,Which cerebellar peduncle carries output fibers?,Inferior,Middle,Superior,Medial,c,Cerebellum,2,The superior peduncle carries cerebellar efferent fibers.,
136,A CT shows a crescent-shaped hyperdensity crossing sutures. Diagnosis?,EDH,SDH,SAH,ICH,b,Neuroimaging,2,Subdural hematomas cross suture lines and arise from bridging veins.,
137,Which cranial nerve controls tongue movement?,CN V,CN VII,CN IX,CN XII,d,Cranial nerves,1,CN XII innervates intrinsic and extrinsic tongue muscles.,
138,The caudate nucleus is involved in:,Fear processing,Memory consolidation,Motor planning and cognition,Vision,c,Basal ganglia,2,The caudate integrates motor and cognitive functions.,
139,Unconscious proprioception travels via the:,Corticospinal tract,Dorsal column,Spinocerebellar tract,Spinothalamic tract,c,Spinal pathways,1,Spinocerebellar tracts carry unconscious proprioception.,
140,Pure motor hemiparesis is classically due to a lesion in the:,Cerebellum,Pons,Posterior limb internal capsule,Occipital cortex,c,Localization,3,Lacunar infarcts of the posterior limb cause pure motor deficits.,
141,Which structure generates fear responses?,Putamen,Amygdala,Hypothalamus,Hippocampus,b,Limbic system,1,The amygdala mediates fear and threat perception.,
142,The anterior horn contains:,Sensory neurons,Upper motor neurons,Lower motor neurons,Interneurons,c,Spinal cord,1,Lower motor neurons reside in the ventral horn.,
143,Which sulcus separates frontal and parietal lobes?,Lateral,Central,Calcarine,Parieto-occipital,b,Cortex,1,The central sulcus divides frontal and parietal lobes.,
144,Optic radiation damage causes:,Ipsilateral blindness,Contralateral homonymous hemianopia,Bitemporal hemianopia,Superior quadrantanopia,b,Visual pathways,2,Postgeniculate lesions cause contralateral homonymous field loss.,
145,Alzheimer disease is associated with deficiency of:,Serotonin,Norepinephrine,Dopamine,Acetylcholine,d,Neurochemistry,1,Loss of cholinergic neurons contributes to memory impairment.,
146,Lateral medullary syndrome presents with:,Contralateral paralysis,Dysphagia and hoarseness,Locked-in syndrome,Ataxic hemiparesis,b,Brainstem syndromes,3,Wallenberg syndrome affects nucleus ambiguus causing dysphagia.,
147,Which thalamic nucleus relays facial sensation?,VPL,VPM,LGN,MGN,b,Thalamus,1,VPM relays trigeminal sensory input.,
148,The default mode network is active during:,Task execution,Motor planning,Resting introspection,Auditory processing,c,Networks,2,The DMN is active during rest and self-referential thought.,
149,A biconvex hyperdense bleed not crossing sutures is:,SDH,EDH,SAH,Contusion,b,Neuroimaging,2,Epidural hematomas are lens-shaped and arterial.,
150,Which artery supplies the posterior limb of internal capsule?,ACA,MCA,PCA,SCA,b,Vascular supply,2,Lenticulostriate branches of MCA supply the posterior limb.,
151,Which cortical area programs motor speech?,Broca area,Wernicke area,Angular gyrus,Heschl gyrus,a,Cortex,1,Broca area controls motor speech production.,
152,Left occipital infarct causes:,Left hemianopia,Right hemianopia,Bitemporal hemianopia,Monocular blindness,b,Visual pathways,2,Occipital lesions cause contralateral homonymous hemianopia.,
153,Procedural memory is mainly stored in the:,Cerebellum,Hippocampus,Frontal cortex,Amygdala,a,Memory systems,2,The cerebellum supports motor learning and procedural memory.,
154,The cingulate gyrus is involved in:,Vision,Emotion and motivation,Hearing,Touch,b,Limbic system,1,The cingulate integrates emotional and cognitive functions.,
155,Parkinson disease affects which pathways?,Direct only,Indirect only,Both direct and indirect,Spinocerebellar,c,Basal ganglia,2,Dopamine loss disrupts balance of both pathways.,
156,Parasympathetic fibers to the pupil run in:,CN III,CN IV,CN VII,CN VIII,a,Cranial nerves,1,The oculomotor nerve carries parasympathetic fibers for pupillary constriction.,
157,The superior cerebellar peduncle carries:,Afferent input,Efferent output,Sensory fibers,Olfactory fibers,b,Cerebellum,2,The superior peduncle contains cerebellar output fibers.,
158,Fast excitatory neurotransmission is mediated by:,GABA,Serotonin,Glutamate,Dopamine,c,Neurochemistry,1,Glutamate is the primary excitatory neurotransmitter.,
159,Painful third nerve palsy with pupil involvement suggests:,Diabetic neuropathy,Compressive aneurysm,MS,Lateral pontine stroke,b,Clinical localization,3,Posterior communicating artery aneurysm causes compressive palsy.,
160,Which structure connects the two thalami?,Internal capsule,Anterior commissure,Interthalamic adhesion,Corpus callosum,c,Anatomy,1,The interthalamic adhesion links the thalami when present.,
161,Hyperdense basal ganglia on CT suggests:,Ischemia,Atrophy,Hypertensive hemorrhage,SDH,c,Neuroimaging,2,Hypertensive hemorrhages commonly involve deep nuclei.,
162,Pyramidal decussation occurs in the:,Midbrain,Pons,Medulla,Cervical cord,c,Motor pathways,1,Corticospinal fibers cross in the medulla.,
163,Which structure regulates thirst?,Supraoptic nucleus,Arcuate nucleus,Lateral hypothalamus,OVLT,d,Hypothalamus,2,OVLT detects osmolarity and regulates thirst.,
164,Loss of vibration with preserved pain suggests lesion of:,Spinothalamic tract,Dorsal column,Anterior horn,Corticospinal tract,b,Spinal pathways,2,Dorsal column lesions impair vibration and proprioception.,
165,Which artery supplies visual cortex?,ACA,MCA,PCA,SCA,c,Vascular supply,1,PCA infarcts cause visual field defects.,
166,Lesion of right frontal eye field causes gaze deviation:,Left,Up,Down,Right,d,Cortex,2,Gaze deviates toward the lesion initially.,
167,Hippocampus is crucial for:,Procedural memory,Working memory,Declarative memory,Reflexes,c,Memory systems,1,Hippocampus consolidates declarative memory.,
168,Internuclear ophthalmoplegia involves damage to the:,Spinothalamic tract,MLF,Internal capsule,Rubrospinal tract,b,Brainstem pathways,2,MLF lesions impair conjugate gaze.,
169,Which cranial nerve exits dorsally?,Facial,Trochlear,Glossopharyngeal,Accessory,b,Cranial nerves,1,CN IV exits dorsally and decussates.,
170,Pulvinar nucleus is involved in:,Motor planning,Auditory processing,Visual-spatial attention,Language,c,Thalamus,2,Pulvinar integrates visual attention.,
171,Scanning speech and wide-based gait indicate lesion of:,Basal ganglia,Frontal cortex,Cerebellar vermis,Cingulate gyrus,c,Cerebellum,2,Vermis lesions cause truncal ataxia.,
172,Broca and Wernicke areas are connected by the:,Cingulum,Arcuate fasciculus,Corpus callosum,ILF,b,White matter,1,Arcuate fasciculus is essential for language repetition.,
173,Blood in cortical sulci on CT indicates:,EDH,SAH,SDH,Contusion,b,Neuroimaging,2,Subarachnoid hemorrhage fills sulci and fissures.,
174,Huntington disease involves loss of which neurotransmitter?,Glutamate,ACh,GABA,Serotonin,c,Neurochemistry,2,Loss of GABAergic neurons causes chorea.,
175,Damage to lateral corticospinal tract causes:,Flaccid paralysis,Spastic paralysis,Ataxia,Pain loss,b,Motor pathways,1,UMN lesions cause spasticity.,
176,Which area generates voluntary saccades?,Frontal eye field,Primary visual cortex,Basal ganglia,Hippocampus,a,Cortex,2,Frontal eye fields initiate saccadic eye movements.,
177,Genu of internal capsule lesion causes:,Pure sensory loss,Lower facial weakness,Visual loss,Ataxia,b,Localization,3,Genu contains corticobulbar fibers.,
178,Lingual gyrus processes:,Auditory input,Taste,Upper visual field,Lower visual field,c,Visual cortex,2,Lingual gyrus represents upper visual field.,
179,Stylopharyngeus muscle is innervated by:,CN V,CN VII,CN IX,CN X,c,Cranial nerves,1,CN IX innervates stylopharyngeus.,
180,Diffuse sulcal effacement on CT suggests:,Chronic atrophy,Cerebral edema,Hydrocephalus ex vacuo,Normal aging,b,Neuroimaging,2,Edema causes effacement of sulci and ventricles.,
181,Which hypothalamic nucleus conserves heat?,Anterior,Posterior,Arcuate,Septal,b,Hypothalamus,2,Posterior hypothalamus mediates heat conservation.,
182,Bilateral pain and temperature loss with spared dorsal columns indicates:,Brown-Sequard,Posterior cord,Anterior cord,Central cord,c,Spinal pathways,2,Anterior cord syndrome spares dorsal columns.,
183,Vertigo and nystagmus suggest lesion of the:,Vermis,Hemisphere,Flocculonodular lobe,Basal ganglia,c,Cerebellum,2,Flocculonodular lobe coordinates vestibular function.,
184,Reward and addiction are mediated by the:,Serotonergic system,Dopaminergic mesolimbic pathway,GABA system,Histamine,b,Neurochemistry,2,Mesolimbic dopamine mediates reward.,
185,Wernicke aphasia presents with:,Nonfluent speech,Fluent meaningless speech,Dysarthria,Normal language,b,Aphasia,2,Comprehension is impaired with fluent output.,
186,Lateral pontine syndrome is caused by infarct of the:,ACA,SCA,AICA,PCA,c,Brainstem vascular,3,AICA infarcts affect facial nucleus.,
187,Red nucleus lesions cause:,Resting tremor,Action tremor,Loss of vibration,LMN paralysis,b,Brainstem,2,Red nucleus damage causes action tremor.,
188,Upper limb proprioception travels via:,Spinothalamic,Fasciculus gracilis,Fasciculus cuneatus,Corticospinal,c,Spinal pathways,1,Cuneatus carries upper limb proprioception.,
189,Crossed hemiparesis suggests lesion in the:,Internal capsule,Midbrain,Medulla,Cortex,b,Localization,3,Brainstem lesions cause crossed findings.,
190,Autonomic fear responses are mediated by the:,Nucleus accumbens,Amygdala,Locus coeruleus,Insula,b,Limbic system,2,Amygdala links emotion with autonomic output.,
191,Lens-shaped epidural hematoma injures which vessel?,Middle meningeal artery,ACA,PICA,Venous sinus,a,Neuroimaging,2,EDH classically follows middle meningeal artery rupture.,
192,The medial geniculate nucleus relays:,Touch,Hearing,Vision,Taste,b,Thalamus,1,MGN relays auditory information.,
193,Dentate nucleus lesions cause:,Fine tremor,Severe dysmetria,Anosmia,Facial palsy,b,Cerebellum,2,Dentate lesions impair limb coordination.,
194,Primary inhibitory neurotransmitter in CNS?,Serotonin,Glutamate,GABA,Norepinephrine,c,Neurochemistry,1,GABA mediates inhibition in CNS.,
195,MLF coordinates:,Speech,Gaze,Memory,Hearing,b,Brainstem pathways,1,MLF synchronizes eye movements.,
196,Hemineglect is caused by lesion of the:,Left frontal lobe,Right parietal cortex,Left basal ganglia,Cerebellum,b,Cortex,2,Right parietal lesions cause neglect.,
197,Hunger drive is regulated by the:,Ventromedial nucleus,Lateral hypothalamus,Suprachiasmatic nucleus,Olfactory tubercle,b,Hypothalamus,1,Lateral hypothalamus stimulates feeding.,
198,Posterior limb internal capsule lesion causes:,Ipsilateral sensory loss,Contralateral motor and sensory loss,Diplopia,LMN paralysis,b,Localization,2,Posterior limb contains motor and sensory fibers.,
199,Hyperdensity in sylvian fissure on CT suggests:,Chronic infarct,Subarachnoid hemorrhage,Venous thrombosis,Normal,b,Neuroimaging,2,Sylvian fissure blood is typical of SAH.,
200,Dorsal column lesions first affect:,Pain and temperature,Proprioception and vibration,Motor control,Olfaction,b,Spinal pathways,1,Dorsal columns carry vibration and proprioception.,
